model,symbol,split,regime,direction,confluence,is_atz,pnl_r,is_win
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,2,False,2.0,True
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,1,False,2.0,True
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,1,False,2.0,True
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,2,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,2,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,2,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,2,False,2.0,True
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,SUPPLY,2,False,2.0,True
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,2,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,2,False,2.0,True
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,2,False,2.0,True
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,1,False,2.0,True
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,SUPPLY,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,SUPPLY,2,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,SUPPLY,2,False,2.0,True
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,SUPPLY,2,False,2.0,True
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,1,False,2.0,True
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,1,False,2.0,True
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,BULL,DEMAND,1,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,SIDEWAYS,DEMAND,2,False,-1.0,False
MODEL_B (Rejection Conf),RELIANCE,TRAIN,SIDEWAYS,DEMAND,2,False,-1.0,False
MODEL_C (Structure Break),RELIANCE,TRAIN,SIDEWAYS,DEMAND,2,False,-1.0,False
MODEL_A (Blind Limit),RELIANCE,TRAIN,BEAR,SUPPLY,2,False,2.0,True
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BEAR,SUPPLY,2,False,2.0,True
MODEL_C (Structure Break),RELIANCE,TRAIN,BEAR,SUPPLY,2,False,2.0,True
MODEL_A (Blind Limit),RELIANCE,TRAIN,BEAR,SUPPLY,2,False,2.0,True
MODEL_B (Rejection Conf),RELIANCE,TRAIN,BEAR,SUPPLY,2,False,2.0,True
MODEL_C (Structure Break),RELIANCE,TRAIN,BEAR,SUPPLY,2,False,2.0,True
